post_id,title,category,score,num_comments,author,collected_at
47651626,Reaffirming our commitment to child safety in the face of EuropeanUnion inaction,science,70,86,upofadown,2026-04-06 10:13:45
47653990,Microsoft Publisher will no longer be supported after October 2026,science,13,3,dsego,2026-04-06 10:13:46
47630893,Age verification on Systemd and Flatpak,science,144,133,londonanon,2026-04-06 10:13:47
47646871,Dynamics of (Not) Being Perceived: Grief and Relief After Leaving Social Media,science,22,4,glovink,2026-04-06 10:13:48
47638075,"The CMS is dead, long live the CMS",science,154,95,taubek,2026-04-06 10:13:48
47639567,Show HN: TurboQuant-WASM – Google's vector quantization in the browser,entertainment,162,6,teamchong,2026-04-06 10:13:50
47641255,Plague Ships (2020),science,50,10,bryanrasmussen,2026-04-06 10:13:51
47611993,VR Realizes the Cyberspace Metaphor,science,17,17,dryadin,2026-04-06 10:13:52
47655983,Debian Is Figuring Out How Age Verification Laws Will Impact It,science,9,0,Bender,2026-04-06 10:13:52
47649917,"SPF/PC v4 for MS-DOS, FreeDOS, x86",science,21,4,hggh,2026-04-06 10:13:53
47634690,Delve removed from Y Combinator,entertainment,499,303,carabiner,2026-04-06 10:13:53
47655938,Pokémon cards are igniting an international crime spree,entertainment,8,0,Bender,2026-04-06 10:13:54
47618176,George Goble has died,entertainment,174,40,finaard,2026-04-06 10:13:55
47655787,Anthropic blocks cli calls mentioning OpenClaw,entertainment,5,2,nstj,2026-04-06 10:13:57
47654466,The Miserable Introvert,entertainment,11,1,artagnon,2026-04-06 10:13:58
47641464,Scientists observe an immune signaling complex forming inside cells,entertainment,113,7,ohjeez,2026-04-06 10:13:59
47654359,I Built a Reproducible Mac Setup with Nix,entertainment,12,0,akane8,2026-04-06 10:14:00
47650606,Open source voice cloning TTS models worth trying,entertainment,6,0,steveharing1,2026-04-06 10:14:00
47653061,Port of LA turns to electric terminal trucks to to slash dwell times,entertainment,13,8,toomuchtodo,2026-04-06 10:14:01
47633947,The FAA’s flight restriction for drones is an attempt to criminalize filming ICE,entertainment,546,181,detaro,2026-04-06 10:14:02
47609117,Ask HN: Is there any interest in a native Qt/C++ Discord client?,entertainment,34,37,txtsd,2026-04-06 10:14:03
47651034,Why Over-Engineering Happens,entertainment,35,5,zuhayeer,2026-04-06 10:14:03
47596739,Mercor says it was hit by cyberattack tied to compromise LiteLLM,entertainment,151,45,jackson-mcd,2026-04-06 10:14:06
